network,MarabouSTAnswer,MarabouST,ReluplexAnswer,Reluplex,PlanetAnswer,Planet,MarabouAnswer,Marabou,ReluValAnswer,ReluVal
ACASXU_run2a_1_1_batch_2000.nnet,TIMEOUT,3345,UNSAT,1518,TIMEOUT,3600,UNSAT,167.29,UNSAT,0
ACASXU_run2a_1_2_batch_2000.nnet,TIMEOUT,3345,UNSAT,2423,ERROR,25,UNSAT,441.33,UNSAT,4
ACASXU_run2a_1_3_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,ERROR,148,UNSAT,661.62,UNSAT,131
ACASXU_run2a_1_4_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,TIMEOUT,3600,UNSAT,580.42,UNSAT,157
ACASXU_run2a_1_5_batch_2000.nnet,TIMEOUT,3345,UNSAT,3007,TIMEOUT,3600,UNSAT,207.33,UNSAT,4
ACASXU_run2a_1_6_batch_2000.nnet,TIMEOUT,3345,UNSAT,1727,TIMEOUT,3600,UNSAT,223.34,UNSAT,3
ACASXU_run2a_1_7_batch_2000.nnet,TIMEOUT,3345,UNSAT,685,TIMEOUT,3600,UNSAT,147.91,UNSAT,0
ACASXU_run2a_1_8_batch_2000.nnet,TIMEOUT,3345,UNSAT,1263,ERROR,223,UNSAT,75.09,UNSAT,1
ACASXU_run2a_1_9_batch_2000.nnet,TIMEOUT,3345,UNSAT,347,ERROR,164,UNSAT,75.4,UNSAT,0
ACASXU_run2a_2_1_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,ERROR,197,UNSAT,508.22,UNSAT,42
ACASXU_run2a_2_2_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,TIMEOUT,3600,UNSAT,1466.62,UNSAT,52
ACASXU_run2a_2_3_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,TIMEOUT,3600,UNSAT,756.53,UNSAT,123
ACASXU_run2a_2_4_batch_2000.nnet,TIMEOUT,3345,UNSAT,2810,ERROR,2194,UNSAT,402.02,UNSAT,34
ACASXU_run2a_2_5_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,TIMEOUT,3600,UNSAT,1308.85,UNSAT,345
ACASXU_run2a_2_6_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,ERROR,983,UNSAT,1412.29,UNSAT,217
ACASXU_run2a_2_7_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,ERROR,1529,TIMEOUT,3343,UNSAT,928
ACASXU_run2a_2_8_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,ERROR,47,UNSAT,2529.52,UNSAT,211
ACASXU_run2a_2_9_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,ERROR,39,TIMEOUT,3343,UNSAT,633
ACASXU_run2a_3_1_batch_2000.nnet,TIMEOUT,3345,UNSAT,1550,TIMEOUT,3600,UNSAT,643.76,UNSAT,14
