network,MarabouSTAnswer,MarabouST,ReluplexAnswer,Reluplex,PlanetAnswer,Planet,MarabouAnswer,Marabou,ReluValAnswer,ReluVal
ACASXU_run2a_3_2_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,TIMEOUT,3600,UNSAT,563.8,UNSAT,40
ACASXU_run2a_3_3_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,TIMEOUT,3600,UNSAT,536.1,UNSAT,106
ACASXU_run2a_3_4_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,TIMEOUT,3600,UNSAT,331.17,UNSAT,40
ACASXU_run2a_3_5_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,TIMEOUT,3600,UNSAT,1031.31,UNSAT,153
ACASXU_run2a_3_6_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,ERROR,36,UNSAT,2756.62,UNSAT,2421
ACASXU_run2a_3_7_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,TIMEOUT,3600,TIMEOUT,3343,UNSAT,1017
ACASXU_run2a_3_8_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,ERROR,1134,UNSAT,1702.09,UNSAT,624
ACASXU_run2a_3_9_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,ERROR,610,UNSAT,2283.42,UNSAT,1340
ACASXU_run2a_4_1_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,TIMEOUT,3600,UNSAT,1168.35,UNSAT,2705
ACASXU_run2a_4_2_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,TIMEOUT,3600,UNSAT,1590.49,UNSAT,183
ACASXU_run2a_4_3_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,TIMEOUT,3600,UNSAT,492.2,UNSAT,50
ACASXU_run2a_4_4_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,TIMEOUT,3600,UNSAT,340.51,UNSAT,75
ACASXU_run2a_4_5_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,TIMEOUT,3600,UNSAT,1555.52,UNSAT,269
ACASXU_run2a_4_6_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,TIMEOUT,3600,TIMEOUT,3343,UNSAT,1941
ACASXU_run2a_4_7_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,TIMEOUT,3600,TIMEOUT,3343,UNSAT,1888
ACASXU_run2a_4_8_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,ERROR,342,TIMEOUT,3343,TIMEOUT,3343
ACASXU_run2a_4_9_batch_2000.nnet,TIMEOUT,3345,TIMEOUT,3343,ERROR,146,TIMEOUT,3343,UNSAT,1404
ACASXU_run2a_5_1_batch_2000.nnet,TIMEOUT,3345,UNSAT,2617,TIMEOUT,3600,UNSAT,414.58,UNSAT,27
ACASXU_run2a_5_2_batch_2000.nnet,TIMEOUT,3344,TIMEOUT,3343,TIMEOUT,3600,UNSAT,575.36,UNSAT,45
ACASXU_run2a_5_3_batch_2000.nnet,TIMEOUT,3343,UNSAT,2644,TIMEOUT,3600,UNSAT,242.97,UNSAT,7
ACASXU_run2a_5_4_batch_2000.nnet,TIMEOUT,3343,TIMEOUT,3343,TIMEOUT,3600,UNSAT,315.68,UNSAT,17
ACASXU_run2a_5_5_batch_2000.nnet,TIMEOUT,3343,TIMEOUT,3343,TIMEOUT,3600,UNSAT,807.74,UNSAT,49
ACASXU_run2a_5_6_batch_2000.nnet,TIMEOUT,3343,TIMEOUT,3343,ERROR,2665,UNSAT,2946.37,UNSAT,1672
ACASXU_run2a_5_7_batch_2000.nnet,TIMEOUT,3343,TIMEOUT,3343,TIMEOUT,3600,UNSAT,1985.08,UNSAT,273
ACASXU_run2a_5_8_batch_2000.nnet,TIMEOUT,3343,TIMEOUT,3343,ERROR,118,TIMEOUT,3343,UNSAT,1587
ACASXU_run2a_5_9_batch_2000.nnet,TIMEOUT,3343,TIMEOUT,3343,ERROR,2698,TIMEOUT,3343,UNSAT,667
