network,MarabouSTAnswer,MarabouST,ReluplexAnswer,Reluplex,PlanetAnswer,Planet,MarabouAnswer,Marabou,ReluValAnswer,ReluVal
ACASXU_run2a_1_1_batch_2000.nnet,TIMEOUT,3352,TIMEOUT,3351,-,10000,UNSAT,688.16,UNSAT,16
ACASXU_run2a_1_2_batch_2000.nnet,TIMEOUT,3352,SAT,453,-,10000,SAT,522.02,SAT,588
ACASXU_run2a_1_3_batch_2000.nnet,TIMEOUT,3352,SAT,1947,-,10000,SAT,986.82,SAT,2312
ACASXU_run2a_1_4_batch_2000.nnet,TIMEOUT,3352,SAT,961,-,10000,SAT,86.3,TIMEOUT,3343
ACASXU_run2a_1_5_batch_2000.nnet,TIMEOUT,3352,SAT,25,-,10000,SAT,1516.39,TIMEOUT,3343
ACASXU_run2a_1_6_batch_2000.nnet,TIMEOUT,3352,SAT,268,-,10000,SAT,580.28,TIMEOUT,3343
ACASXU_run2a_1_7_batch_2000.nnet,TIMEOUT,3352,TIMEOUT,3351,-,10000,UNSAT,1571.3,UNSAT,776
ACASXU_run2a_1_8_batch_2000.nnet,TIMEOUT,3352,TIMEOUT,3351,-,10000,UNSAT,2419.3,UNSAT,2064
ACASXU_run2a_1_9_batch_2000.nnet,TIMEOUT,3352,TIMEOUT,3351,-,10000,UNSAT,1622.25,UNSAT,1026
ACASXU_run2a_2_1_batch_2000.nnet,TIMEOUT,3351,SAT,705,-,10000,SAT,81.64,SAT,0
ACASXU_run2a_2_2_batch_2000.nnet,TIMEOUT,3352,SAT,16,-,10000,SAT,187.31,SAT,0
ACASXU_run2a_2_3_batch_2000.nnet,TIMEOUT,3352,SAT,75,-,10000,SAT,90.32,SAT,0
ACASXU_run2a_2_4_batch_2000.nnet,TIMEOUT,3352,SAT,50,-,10000,SAT,11.75,SAT,0
ACASXU_run2a_2_5_batch_2000.nnet,SAT,1062,SAT,429,-,10000,SAT,145.17,SAT,0
ACASXU_run2a_2_6_batch_2000.nnet,TIMEOUT,3351,TIMEOUT,3351,-,10000,SAT,23.85,SAT,0
ACASXU_run2a_2_7_batch_2000.nnet,SAT,954,TIMEOUT,3351,-,10000,SAT,856.34,SAT,0
ACASXU_run2a_2_8_batch_2000.nnet,TIMEOUT,3352,SAT,1189,-,10000,SAT,11.87,SAT,0
ACASXU_run2a_2_9_batch_2000.nnet,TIMEOUT,3352,TIMEOUT,3351,-,10000,SAT,240.7,TIMEOUT,3343
ACASXU_run2a_3_1_batch_2000.nnet,TIMEOUT,3351,SAT,1003,-,10000,SAT,151.07,ERROR,5000
ACASXU_run2a_3_2_batch_2000.nnet,TIMEOUT,3351,SAT,1329,-,10000,SAT,165.33,TIMEOUT,3343
ACASXU_run2a_3_3_batch_2000.nnet,TIMEOUT,3352,TIMEOUT,3351,-,10000,TIMEOUT,3343,TIMEOUT,3343
ACASXU_run2a_3_4_batch_2000.nnet,SAT,622,SAT,2565,-,10000,SAT,47.71,SAT,0
ACASXU_run2a_3_5_batch_2000.nnet,SAT,39,TIMEOUT,3351,-,10000,SAT,1617.97,SAT,0
ACASXU_run2a_3_6_batch_2000.nnet,TIMEOUT,3352,SAT,256,-,10000,SAT,105.47,TIMEOUT,3343
ACASXU_run2a_3_7_batch_2000.nnet,TIMEOUT,3352,SAT,1010,-,10000,SAT,1052.29,TIMEOUT,3343
ACASXU_run2a_3_8_batch_2000.nnet,TIMEOUT,3352,SAT,927,-,10000,SAT,147.88,SAT,0
ACASXU_run2a_3_9_batch_2000.nnet,TIMEOUT,3352,SAT,113,-,10000,SAT,10.7,SAT,0
ACASXU_run2a_4_1_batch_2000.nnet,SAT,661,SAT,1209,-,10000,SAT,583.64,SAT,0
ACASXU_run2a_4_2_batch_2000.nnet,TIMEOUT,3351,TIMEOUT,3351,-,10000,TIMEOUT,3343,TIMEOUT,3343
ACASXU_run2a_4_3_batch_2000.nnet,SAT,2572,SAT,17,-,10000,SAT,83.52,SAT,0
ACASXU_run2a_4_4_batch_2000.nnet,TIMEOUT,3351,SAT,134,-,10000,SAT,23.62,SAT,0
ACASXU_run2a_4_5_batch_2000.nnet,TIMEOUT,3351,TIMEOUT,3351,-,10000,SAT,257.68,SAT,0
ACASXU_run2a_4_6_batch_2000.nnet,TIMEOUT,3351,SAT,1991,-,10000,SAT,69.14,SAT,0
ACASXU_run2a_4_7_batch_2000.nnet,TIMEOUT,3351,TIMEOUT,3352,-,10000,SAT,2214.94,SAT,0
ACASXU_run2a_4_8_batch_2000.nnet,TIMEOUT,3351,TIMEOUT,3351,-,10000,SAT,23.58,SAT,0
ACASXU_run2a_4_9_batch_2000.nnet,SAT,638,TIMEOUT,3350,-,10000,SAT,151.86,TIMEOUT,3343
ACASXU_run2a_5_1_batch_2000.nnet,TIMEOUT,3351,SAT,2625,-,10000,SAT,31.88,SAT,0
ACASXU_run2a_5_2_batch_2000.nnet,SAT,187,SAT,505,-,10000,SAT,10.05,SAT,0
ACASXU_run2a_5_3_batch_2000.nnet,TIMEOUT,3351,SAT,101,-,10000,SAT,2024.83,ERROR,5000
ACASXU_run2a_5_4_batch_2000.nnet,TIMEOUT,3351,SAT,54,-,10000,SAT,51.9,SAT,0
ACASXU_run2a_5_5_batch_2000.nnet,SAT,1720,SAT,1666,-,10000,SAT,10.86,SAT,0
ACASXU_run2a_5_6_batch_2000.nnet,TIMEOUT,3351,SAT,3189,-,10000,SAT,107.36,SAT,0
ACASXU_run2a_5_7_batch_2000.nnet,SAT,1662,SAT,2090,-,10000,SAT,534.05,SAT,0
ACASXU_run2a_5_8_batch_2000.nnet,TIMEOUT,3351,TIMEOUT,3350,-,10000,SAT,23.63,SAT,0
ACASXU_run2a_5_9_batch_2000.nnet,TIMEOUT,3351,TIMEOUT,3350,-,10000,SAT,443.72,SAT,0
