network,MarabouSTAnswer,MarabouST,ReluplexAnswer,Reluplex,PlanetAnswer,Planet,MarabouAnswer,Marabou,ReluValAnswer,ReluVal
ACASXU_run2a_1_1_batch_2000.nnet,TIMEOUT,3351,TIMEOUT,3346,-,10000,UNSAT,948.36,TIMEOUT,3343
ACASXU_run2a_1_2_batch_2000.nnet,UNSAT,2709,TIMEOUT,3336,-,10000,UNSAT,349.83,UNSAT,119
ACASXU_run2a_1_3_batch_2000.nnet,UNSAT,1514,UNSAT,2289,-,10000,UNSAT,424.72,UNSAT,268
ACASXU_run2a_1_4_batch_2000.nnet,UNSAT,311,UNSAT,1026,-,10000,UNSAT,55.05,UNSAT,10
ACASXU_run2a_1_5_batch_2000.nnet,UNSAT,647,UNSAT,608,-,10000,UNSAT,48.92,UNSAT,6
ACASXU_run2a_1_6_batch_2000.nnet,UNSAT,117,UNSAT,126,-,10000,UNSAT,25.43,UNSAT,0
ACASXU_run2a_1_7_batch_2000.nnet,SAT,0,SAT,3,-,10000,SAT,0.77,SAT,0
ACASXU_run2a_1_8_batch_2000.nnet,SAT,2,SAT,7,-,10000,SAT,2.43,SAT,0
ACASXU_run2a_1_9_batch_2000.nnet,SAT,1,SAT,6,-,10000,SAT,1.25,SAT,0
ACASXU_run2a_2_1_batch_2000.nnet,UNSAT,425,UNSAT,2221,-,10000,UNSAT,153.8,TIMEOUT,3343
ACASXU_run2a_2_2_batch_2000.nnet,UNSAT,569,UNSAT,1400,-,10000,UNSAT,315.94,UNSAT,812
ACASXU_run2a_2_3_batch_2000.nnet,UNSAT,1133,UNSAT,2096,-,10000,UNSAT,328.98,UNSAT,292
ACASXU_run2a_2_4_batch_2000.nnet,UNSAT,22,UNSAT,87,-,10000,UNSAT,20.77,UNSAT,37
ACASXU_run2a_2_5_batch_2000.nnet,UNSAT,101,UNSAT,469,-,10000,UNSAT,21.6,UNSAT,7
ACASXU_run2a_2_6_batch_2000.nnet,UNSAT,58,UNSAT,172,-,10000,UNSAT,11.52,UNSAT,0
ACASXU_run2a_2_7_batch_2000.nnet,UNSAT,76,UNSAT,241,-,10000,UNSAT,15.75,UNSAT,10
ACASXU_run2a_2_8_batch_2000.nnet,UNSAT,17,UNSAT,167,-,10000,UNSAT,14.91,UNSAT,0
ACASXU_run2a_2_9_batch_2000.nnet,UNSAT,1,UNSAT,52,-,10000,UNSAT,1.16,UNSAT,0
ACASXU_run2a_3_1_batch_2000.nnet,UNSAT,120,UNSAT,338,-,10000,UNSAT,40.33,UNSAT,281
ACASXU_run2a_3_2_batch_2000.nnet,UNSAT,1333,UNSAT,2847,-,10000,UNSAT,291.49,UNSAT,512
ACASXU_run2a_3_3_batch_2000.nnet,UNSAT,236,UNSAT,2119,-,10000,UNSAT,60.68,UNSAT,10
ACASXU_run2a_3_4_batch_2000.nnet,UNSAT,428,UNSAT,400,-,10000,UNSAT,51.94,UNSAT,29
ACASXU_run2a_3_5_batch_2000.nnet,UNSAT,62,UNSAT,162,-,10000,UNSAT,21.29,UNSAT,344
ACASXU_run2a_3_6_batch_2000.nnet,UNSAT,301,UNSAT,564,-,10000,UNSAT,68.95,UNSAT,1072
ACASXU_run2a_3_7_batch_2000.nnet,UNSAT,15,UNSAT,68,-,10000,UNSAT,10.96,UNSAT,0
ACASXU_run2a_3_8_batch_2000.nnet,UNSAT,191,UNSAT,364,-,10000,UNSAT,50.04,UNSAT,443
ACASXU_run2a_3_9_batch_2000.nnet,UNSAT,73,UNSAT,227,-,10000,UNSAT,33.67,UNSAT,276
ACASXU_run2a_4_1_batch_2000.nnet,UNSAT,115,UNSAT,389,-,10000,UNSAT,87.86,UNSAT,926
ACASXU_run2a_4_2_batch_2000.nnet,UNSAT,1550,TIMEOUT,3355,-,10000,UNSAT,570.78,TIMEOUT,3343
ACASXU_run2a_4_3_batch_2000.nnet,UNSAT,1632,UNSAT,3136,-,10000,UNSAT,351.03,UNSAT,146
ACASXU_run2a_4_4_batch_2000.nnet,UNSAT,42,UNSAT,179,-,10000,UNSAT,16.64,UNSAT,1
ACASXU_run2a_4_5_batch_2000.nnet,UNSAT,71,UNSAT,63,-,10000,UNSAT,16.08,UNSAT,2
ACASXU_run2a_4_6_batch_2000.nnet,UNSAT,218,UNSAT,592,-,10000,UNSAT,55.46,UNSAT,2
ACASXU_run2a_4_7_batch_2000.nnet,UNSAT,224,UNSAT,283,-,10000,UNSAT,29.62,UNSAT,23
ACASXU_run2a_4_8_batch_2000.nnet,UNSAT,86,UNSAT,300,-,10000,UNSAT,39.65,UNSAT,163
ACASXU_run2a_4_9_batch_2000.nnet,UNSAT,89,UNSAT,283,-,10000,UNSAT,38.61,UNSAT,0
ACASXU_run2a_5_1_batch_2000.nnet,UNSAT,1196,UNSAT,2323,-,10000,UNSAT,307.62,UNSAT,2457
ACASXU_run2a_5_2_batch_2000.nnet,UNSAT,129,UNSAT,295,-,10000,UNSAT,57.16,UNSAT,199
ACASXU_run2a_5_3_batch_2000.nnet,UNSAT,175,UNSAT,602,-,10000,UNSAT,45.36,UNSAT,10
ACASXU_run2a_5_4_batch_2000.nnet,UNSAT,123,UNSAT,122,-,10000,UNSAT,27.65,UNSAT,6
ACASXU_run2a_5_5_batch_2000.nnet,UNSAT,276,UNSAT,177,-,10000,UNSAT,23.95,UNSAT,39
ACASXU_run2a_5_6_batch_2000.nnet,UNSAT,123,UNSAT,572,-,10000,UNSAT,48.95,UNSAT,55
ACASXU_run2a_5_7_batch_2000.nnet,UNSAT,32,UNSAT,63,-,10000,UNSAT,10.79,UNSAT,0
ACASXU_run2a_5_8_batch_2000.nnet,UNSAT,110,UNSAT,598,-,10000,UNSAT,33.98,UNSAT,0
ACASXU_run2a_5_9_batch_2000.nnet,UNSAT,35,UNSAT,38,-,10000,UNSAT,11.4,UNSAT,2
