unsat-epsilon,sat-epsilon,original-prediction,second-best-prediction
115.9881591796875,115.997314453125,[4 0 5 3],[8 2 9 0]
160.7666015625,160.7757568359375,[3 5 9 5],[9 8 3 9]
105.6427001953125,105.65185546875,[9 1 2 8],[2 9 3 3]
109.7442626953125,109.75341796875,[1 9 7 8],[3 2 6 5]
132.366943359375,132.3760986328125,[2 3 9 3],[3 2 2 4]
77.9754638671875,77.984619140625,[3 9 9 4],[0 3 3 3]
83.770751953125,83.7799072265625,[2 9 7 6],[5 3 3 9]
84.136962890625,84.1461181640625,[0 4 9 7],[9 3 3 2]
51.324462890625,51.3336181640625,[9 4 8 9],[3 3 3 6]
109.9365234375,109.9456787109375,[3 4 5 5],[4 5 9 9]
29.827880859375,29.8370361328125,[2 9 8 9],[3 3 3 3]
82.7545166015625,82.763671875,[1 8 3 9],[3 3 2 2]
91.1041259765625,91.11328125,[7 4 0 2],[2 3 3 5]
62.1551513671875,62.164306640625,[7 3 0 4],[9 9 5 5]
132.257080078125,132.2662353515625,[5 7 3 8],[8 2 0 3]
114.1937255859375,114.202880859375,[4 0 9 2],[5 4 3 9]
205.2154541015625,205.224609375,[2 4 0 3],[9 3 4 0]
62.200927734375,62.2100830078125,[1 3 5 7],[4 9 9 9]
92.266845703125,92.2760009765625,[5 6 6 1],[8 1 9 4]
92.8070068359375,92.816162109375,[5 7 0 6],[9 2 3 9]
97.2747802734375,97.283935546875,[3 3 2 1],[0 9 3 4]
78.717041015625,78.7261962890625,[3 2 2 8],[9 3 3 3]
85.58349609375,85.5926513671875,[0 4 1 9],[2 3 9 3]
106.805419921875,106.8145751953125,[9 3 2 7],[3 0 3 2]
91.351318359375,91.3604736328125,[0 9 5 5],[5 3 9 9]
99.93896484375,99.9481201171875,[3 1 2 4],[0 4 0 3]
61.8988037109375,61.907958984375,[5 1 2 8],[9 4 9 4]
126.617431640625,126.6265869140625,[3 8 4 3],[9 3 8 2]
107.8765869140625,107.8857421875,[9 0 3 8],[2 4 9 5]
140.1214599609375,140.130615234375,[4 1 5 3],[5 4 9 4]
80.859375,80.8685302734375,[7 9 9 6],[2 3 3 0]
81.1248779296875,81.134033203125,[0 9 9 5],[9 2 2 9]
135.552978515625,135.5621337890625,[9 3 6 5],[3 2 9 9]
176.11083984375,176.1199951171875,[3 2 9 8],[9 0 3 5]
139.6087646484375,139.617919921875,[9 6 3 5],[3 9 4 9]
153.9825439453125,153.99169921875,[0 4 3 5],[3 5 4 9]
56.304931640625,56.3140869140625,[3 2 5 8],[9 9 9 3]
112.628173828125,112.6373291015625,[8 0 5 4],[3 5 8 8]
85.0433349609375,85.052490234375,[4 9 0 7],[8 3 2 3]
111.859130859375,111.8682861328125,[4 3 3 5],[3 2 0 9]
77.984619140625,77.9937744140625,[1 1 6 1],[3 4 1 4]
146.2188720703125,146.22802734375,[9 5 2 3],[2 9 9 4]
65.3961181640625,65.4052734375,[3 1 5 2],[9 9 9 5]
82.342529296875,82.3516845703125,[1 3 2 8],[4 9 9 5]
152.947998046875,152.9571533203125,[9 8 7 2],[2 5 9 9]
59.3170166015625,59.326171875,[9 0 4 1],[3 3 3 4]
97.3846435546875,97.393798828125,[3 8 3 9],[9 3 2 2]
159.814453125,159.8236083984375,[6 5 9 2],[0 9 5 3]
82.8277587890625,82.8369140625,[1 3 8 1],[4 9 3 9]
83.6334228515625,83.642578125,[8 7 8 9],[3 9 3 2]
172.2015380859375,172.210693359375,[9 1 9 3],[3 9 5 9]
73.297119140625,73.3062744140625,[9 3 9 3],[3 2 6 4]
56.7901611328125,56.79931640625,[8 9 2 7],[3 6 3 3]
183.6090087890625,183.6181640625,[1 2 3 0],[4 0 2 3]
96.5606689453125,96.56982421875,[9 4 5 8],[3 5 9 3]
137.091064453125,137.1002197265625,[8 5 4 2],[4 9 8 9]
150.9429931640625,150.9521484375,[9 6 3 9],[3 9 9 2]
82.1685791015625,82.177734375,[5 5 9 4],[8 9 3 8]
87.615966796875,87.6251220703125,[1 7 0 9],[4 3 2 3]
97.7783203125,97.7874755859375,[8 3 1 3],[3 2 4 0]
50.7659912109375,50.775146484375,[4 8 4 8],[3 3 8 3]
76.9500732421875,76.959228515625,[7 9 6 5],[2 2 9 9]
75.457763671875,75.4669189453125,[3 8 2 8],[0 3 3 3]
85.4736328125,85.4827880859375,[7 8 2 4],[2 3 3 5]
143.316650390625,143.3258056640625,[0 6 9 5],[5 0 3 9]
88.4674072265625,88.4765625,[7 1 7 3],[2 3 3 4]
82.4066162109375,82.415771484375,[2 9 9 4],[0 3 5 3]
156.8572998046875,156.866455078125,[9 3 2 8],[3 9 5 3]
87.7899169921875,87.799072265625,[3 3 2 4],[2 4 9 8]
68.29833984375,68.3074951171875,[3 1 5 1],[2 4 2 3]
94.81201171875,94.8211669921875,[1 3 4 4],[3 2 3 8]
69.140625,69.1497802734375,[5 7 1 1],[9 9 3 4]
62.274169921875,62.2833251953125,[7 2 2 2],[9 9 5 9]
86.590576171875,86.5997314453125,[1 8 5 1],[4 3 2 4]
85.2081298828125,85.21728515625,[9 3 0 1],[6 4 3 4]
162.8997802734375,162.908935546875,[2 3 9 3],[0 9 3 2]
75.4669189453125,75.47607421875,[6 3 3 6],[3 0 2 9]
88.018798828125,88.0279541015625,[5 3 3 8],[2 9 9 5]
61.7889404296875,61.798095703125,[3 2 3 3],[2 7 9 0]
135.333251953125,135.3424072265625,[9 3 3 9],[3 9 9 2]
93.0450439453125,93.05419921875,[5 5 0 2],[2 9 3 7]
138.3544921875,138.3636474609375,[3 4 3 1],[4 3 4 4]
90.1885986328125,90.19775390625,[0 7 8 2],[3 2 3 5]
107.684326171875,107.6934814453125,[6 2 9 9],[9 7 2 3]
58.135986328125,58.1451416015625,[8 2 0 7],[3 9 9 3]
80.6304931640625,80.6396484375,[2 3 2 8],[7 4 9 3]
62.87841796875,62.8875732421875,[1 6 5 3],[4 9 9 9]
89.483642578125,89.4927978515625,[1 8 0 9],[3 3 9 6]
85.2264404296875,85.235595703125,[0 6 8 3],[5 9 3 9]
98.236083984375,98.2452392578125,[3 0 5 1],[2 2 9 3]
85.43701171875,85.4461669921875,[9 6 0 2],[3 9 3 0]
89.630126953125,89.6392822265625,[7 9 5 6],[3 3 9 0]
107.940673828125,107.9498291015625,[9 3 6 7],[3 0 1 2]
101.129150390625,101.1383056640625,[6 8 9 1],[9 3 2 4]
112.664794921875,112.6739501953125,[1 2 3 8],[3 5 0 3]
62.0819091796875,62.091064453125,[6 5 7 7],[9 9 9 6]
58.26416015625,58.2733154296875,[3 2 2 0],[9 9 9 2]
84.136962890625,84.1461181640625,[3 9 3 1],[9 6 9 4]
91.4337158203125,91.44287109375,[9 3 3 8],[2 2 9 3]
81.591796875,81.6009521484375,[7 8 0 3],[2 3 4 4]
59.7930908203125,59.80224609375,[9 8 1 0],[3 3 3 2]
130.2703857421875,130.279541015625,[8 3 6 4],[3 2 1 8]
101.7242431640625,101.7333984375,[3 7 3 0],[0 3 4 9]
83.990478515625,83.9996337890625,[3 4 4 6],[0 8 8 9]
81.7657470703125,81.77490234375,[4 2 3 8],[3 9 9 3]
61.4410400390625,61.4501953125,[1 1 3 5],[4 4 9 9]
64.34326171875,64.3524169921875,[7 1 9 5],[3 3 3 2]
48.4130859375,48.4222412109375,[6 8 8 8],[9 3 5 3]
164.90478515625,164.9139404296875,[7 0 3 7],[3 3 0 6]
91.497802734375,91.5069580078125,[2 4 2 5],[9 3 7 9]
166.4703369140625,166.4794921875,[4 3 9 3],[5 9 3 4]
97.833251953125,97.8424072265625,[1 6 5 8],[3 1 8 3]
124.5208740234375,124.530029296875,[3 2 5 7],[0 9 2 3]
90.9942626953125,91.00341796875,[5 7 1 3],[9 2 4 9]
86.407470703125,86.4166259765625,[1 3 3 3],[3 9 2 9]
49.0081787109375,49.017333984375,[4 8 4 4],[5 3 3 3]
84.814453125,84.8236083984375,[9 1 0 8],[2 4 3 3]
85.21728515625,85.2264404296875,[9 0 4 2],[3 4 8 3]
107.9315185546875,107.940673828125,[7 6 3 1],[3 9 0 3]
81.2164306640625,81.2255859375,[3 4 9 3],[4 8 2 2]
83.111572265625,83.1207275390625,[8 3 1 3],[3 9 3 9]
166.680908203125,166.6900634765625,[1 9 2 7],[4 5 7 2]
149.835205078125,149.8443603515625,[9 9 3 5],[5 3 9 9]
101.18408203125,101.1932373046875,[2 3 8 3],[7 2 3 4]
89.849853515625,89.8590087890625,[0 4 5 5],[4 3 2 9]
102.008056640625,102.0172119140625,[2 3 2 9],[9 4 5 3]
117.4072265625,117.4163818359375,[3 1 8 3],[9 3 3 2]
149.3316650390625,149.3408203125,[9 8 9 3],[2 3 3 9]
55.8746337890625,55.8837890625,[1 6 6 1],[4 9 9 9]
86.2152099609375,86.224365234375,[2 4 1 2],[5 3 4 7]
82.2235107421875,82.232666015625,[1 3 3 1],[3 0 4 4]
136.212158203125,136.2213134765625,[9 3 1 6],[3 9 3 3]
153.314208984375,153.3233642578125,[9 5 3 2],[2 9 0 3]
132.586669921875,132.5958251953125,[3 1 9 4],[9 3 2 3]
89.7674560546875,89.776611328125,[9 5 2 0],[3 9 3 2]
121.527099609375,121.5362548828125,[0 3 6 7],[2 0 9 3]
84.173583984375,84.1827392578125,[6 5 8 7],[9 9 4 6]
95.123291015625,95.1324462890625,[4 5 1 0],[8 9 3 9]
133.941650390625,133.9508056640625,[9 3 5 9],[5 2 9 3]
157.0770263671875,157.086181640625,[8 9 3 5],[3 5 4 9]
61.5142822265625,61.5234375,[1 8 8 0],[9 3 3 3]
