unsat-epsilon,sat-epsilon,original-prediction,second-best-prediction
29.998779296875,30.0048828125,[1 8],[3 3]
49.530029296875,49.5361328125,[4 8],[3 5]
52.23388671875,52.239990234375,[7 8],[6 4]
55.755615234375,55.76171875,[9 5],[3 9]
50.45166015625,50.457763671875,[9 4],[2 3]
58.953857421875,58.9599609375,[3 0],[9 3]
48.40087890625,48.406982421875,[8 9],[3 2]
56.024169921875,56.0302734375,[6 2],[9 5]
31.085205078125,31.09130859375,[7 8],[3 3]
53.228759765625,53.23486328125,[4 9],[3 5]
50.4638671875,50.469970703125,[4 9],[3 2]
30.462646484375,30.46875,[3 6],[9 9]
52.9296875,52.935791015625,[8 3],[3 9]
58.9111328125,58.917236328125,[9 5],[3 9]
61.834716796875,61.8408203125,[1 5],[4 2]
57.342529296875,57.3486328125,[9 3],[5 9]
29.91943359375,29.925537109375,[3 3],[4 9]
132.183837890625,132.18994140625,[9 3],[3 9]
53.411865234375,53.41796875,[8 3],[3 9]
31.207275390625,31.21337890625,[2 2],[5 3]
30.2978515625,30.303955078125,[2 3],[9 9]
52.716064453125,52.72216796875,[7 4],[6 3]
46.380615234375,46.38671875,[8 9],[3 2]
30.194091796875,30.2001953125,[8 0],[3 3]
48.27880859375,48.284912109375,[4 8],[8 3]
26.11083984375,26.116943359375,[4 8],[3 3]
28.314208984375,28.3203125,[3 3],[9 9]
51.11083984375,51.116943359375,[8 3],[3 9]
36.639404296875,36.6455078125,[5 1],[9 9]
52.5634765625,52.569580078125,[8 3],[3 9]
53.167724609375,53.173828125,[3 4],[2 3]
52.630615234375,52.63671875,[4 6],[8 1]
56.89697265625,56.903076171875,[1 4],[9 8]
57.82470703125,57.830810546875,[5 9],[9 2]
49.798583984375,49.8046875,[9 6],[3 9]
30.462646484375,30.46875,[3 6],[9 9]
29.5166015625,29.522705078125,[3 3],[0 9]
33.856201171875,33.8623046875,[5 5],[9 2]
54.315185546875,54.3212890625,[8 7],[5 9]
52.862548828125,52.86865234375,[2 3],[3 9]
26.11083984375,26.116943359375,[4 4],[3 3]
52.349853515625,52.35595703125,[2 8],[9 3]
48.2666015625,48.272705078125,[9 8],[2 5]
53.045654296875,53.0517578125,[2 9],[5 3]
34.2529296875,34.259033203125,[5 7],[9 9]
52.899169921875,52.9052734375,[9 4],[5 8]
52.79541015625,52.801513671875,[8 5],[3 9]
55.2978515625,55.303955078125,[2 4],[3 8]
65.692138671875,65.6982421875,[0 5],[2 8]
51.055908203125,51.06201171875,[9 2],[2 3]
63.18359375,63.189697265625,[7 5],[2 9]
31.085205078125,31.09130859375,[7 8],[3 3]
53.16162109375,53.167724609375,[5 9],[9 2]
53.863525390625,53.86962890625,[9 2],[3 9]
53.948974609375,53.955078125,[9 4],[5 3]
60.8154296875,60.821533203125,[2 3],[7 4]
29.998779296875,30.0048828125,[8 1],[3 3]
105.1513671875,105.157470703125,[4 8],[8 4]
31.011962890625,31.01806640625,[3 2],[9 9]
64.55078125,64.556884765625,[3 5],[2 9]
52.716064453125,52.72216796875,[9 8],[2 3]
64.739990234375,64.74609375,[1 5],[9 2]
61.2548828125,61.260986328125,[2 4],[7 8]
31.317138671875,31.3232421875,[2 1],[9 9]
56.854248046875,56.8603515625,[6 7],[0 3]
50.50048828125,50.506591796875,[8 6],[4 3]
57.6416015625,57.647705078125,[5 6],[9 3]
62.9638671875,62.969970703125,[3 1],[2 3]
57.244873046875,57.2509765625,[2 4],[7 3]
106.951904296875,106.9580078125,[2 3],[3 2]
132.769775390625,132.77587890625,[9 3],[3 9]
33.416748046875,33.4228515625,[3 5],[2 2]
54.083251953125,54.08935546875,[6 3],[0 9]
31.085205078125,31.09130859375,[7 9],[3 3]
59.521484375,59.527587890625,[3 1],[0 3]
53.082275390625,53.08837890625,[8 0],[4 3]
29.791259765625,29.79736328125,[0 0],[2 2]
30.169677734375,30.17578125,[0 3],[2 2]
59.954833984375,59.9609375,[1 0],[4 3]
27.44140625,27.447509765625,[9 0],[3 3]
31.085205078125,31.09130859375,[8 7],[3 3]
49.029541015625,49.03564453125,[9 6],[3 9]
53.03955078125,53.045654296875,[3 6],[2 9]
56.640625,56.646728515625,[4 3],[3 9]
57.513427734375,57.51953125,[6 3],[1 9]
32.891845703125,32.89794921875,[6 5],[9 9]
52.01416015625,52.020263671875,[8 1],[3 4]
55.11474609375,55.120849609375,[3 4],[0 8]
28.082275390625,28.08837890625,[3 3],[2 9]
32.77587890625,32.781982421875,[6 5],[9 9]
56.097412109375,56.103515625,[3 8],[9 4]
57.244873046875,57.2509765625,[0 6],[3 1]
58.978271484375,58.984375,[3 2],[2 0]
47.8515625,47.857666015625,[9 8],[2 3]
49.957275390625,49.96337890625,[8 3],[3 9]
56.57958984375,56.585693359375,[3 8],[9 4]
59.68017578125,59.686279296875,[9 5],[3 2]
30.06591796875,30.072021484375,[0 9],[2 2]
58.28857421875,58.294677734375,[5 1],[9 4]
48.370361328125,48.37646484375,[9 8],[2 3]
55.16357421875,55.169677734375,[9 3],[2 4]
55.23681640625,55.242919921875,[3 7],[4 6]
54.72412109375,54.730224609375,[8 0],[3 5]
58.099365234375,58.10546875,[8 1],[5 3]
59.06982421875,59.075927734375,[7 1],[9 4]
59.423828125,59.429931640625,[4 0],[8 2]
26.86767578125,26.873779296875,[9 9],[2 3]
28.082275390625,28.08837890625,[3 3],[2 0]
52.1728515625,52.178955078125,[9 7],[3 2]
55.694580078125,55.70068359375,[4 9],[3 2]
64.2333984375,64.239501953125,[5 0],[2 5]
55.096435546875,55.1025390625,[9 7],[3 2]
54.888916015625,54.89501953125,[1 4],[4 8]
55.99365234375,55.999755859375,[9 3],[3 2]
30.291748046875,30.2978515625,[3 3],[0 2]
52.557373046875,52.5634765625,[2 8],[5 3]
55.157470703125,55.16357421875,[9 7],[5 3]
55.511474609375,55.517578125,[9 0],[6 4]
34.2529296875,34.259033203125,[6 5],[9 9]
56.7138671875,56.719970703125,[9 5],[2 9]
27.44140625,27.447509765625,[0 9],[3 3]
56.65283203125,56.658935546875,[3 4],[4 5]
54.949951171875,54.9560546875,[9 1],[3 4]
54.913330078125,54.91943359375,[3 7],[9 6]
53.16162109375,53.167724609375,[5 9],[9 2]
55.7861328125,55.792236328125,[9 4],[5 8]
48.797607421875,48.8037109375,[8 4],[5 8]
29.974365234375,29.98046875,[2 2],[9 9]
52.008056640625,52.01416015625,[2 8],[0 3]
55.72509765625,55.731201171875,[7 1],[6 4]
59.85107421875,59.857177734375,[5 3],[9 0]
34.881591796875,34.8876953125,[1 1],[3 4]
24.86572265625,24.871826171875,[8 6],[3 3]
54.8095703125,54.815673828125,[4 2],[8 5]
59.381103515625,59.38720703125,[5 8],[8 3]
53.363037109375,53.369140625,[8 0],[3 2]
55.938720703125,55.94482421875,[6 3],[0 2]
35.48583984375,35.491943359375,[5 3],[9 9]
53.8330078125,53.839111328125,[3 8],[9 3]
58.21533203125,58.221435546875,[7 2],[6 7]
55.6396484375,55.645751953125,[1 8],[3 4]
58.917236328125,58.92333984375,[0 1],[2 4]
26.86767578125,26.873779296875,[9 8],[3 3]
54.315185546875,54.3212890625,[2 3],[3 9]
55.352783203125,55.35888671875,[9 5],[3 9]
56.14013671875,56.146240234375,[4 3],[3 0]
49.2431640625,49.249267578125,[8 6],[3 0]
56.671142578125,56.67724609375,[7 3],[2 9]
50.421142578125,50.42724609375,[0 8],[2 3]
58.72802734375,58.734130859375,[3 0],[2 3]
33.416748046875,33.4228515625,[9 5],[2 2]
29.06494140625,29.071044921875,[8 1],[4 4]
61.376953125,61.383056640625,[2 5],[3 9]
58.30078125,58.306884765625,[3 2],[4 3]
56.329345703125,56.33544921875,[5 8],[2 3]
53.91845703125,53.924560546875,[3 2],[0 9]
54.644775390625,54.65087890625,[3 4],[9 5]
48.797607421875,48.8037109375,[8 4],[5 8]
53.466796875,53.472900390625,[9 7],[3 6]
48.687744140625,48.69384765625,[6 8],[9 3]
61.956787109375,61.962890625,[1 3],[3 0]
55.401611328125,55.40771484375,[2 3],[3 9]
50.787353515625,50.79345703125,[8 2],[3 5]
49.7802734375,49.786376953125,[8 3],[3 9]
30.938720703125,30.94482421875,[3 3],[9 9]
58.30078125,58.306884765625,[2 1],[5 4]
31.182861328125,31.18896484375,[8 2],[5 5]
57.26318359375,57.269287109375,[3 9],[9 2]
58.14208984375,58.148193359375,[3 7],[2 9]
56.16455078125,56.170654296875,[3 9],[9 6]
52.84423828125,52.850341796875,[0 9],[9 2]
53.875732421875,53.8818359375,[8 2],[3 0]
60.980224609375,60.986328125,[1 2],[9 3]
58.258056640625,58.26416015625,[3 5],[0 9]
58.6181640625,58.624267578125,[1 0],[4 3]
55.126953125,55.133056640625,[6 3],[9 2]
57.928466796875,57.9345703125,[2 4],[7 3]
30.291748046875,30.2978515625,[3 3],[2 9]
30.291748046875,30.2978515625,[3 3],[2 4]
62.615966796875,62.6220703125,[5 3],[9 0]
54.833984375,54.840087890625,[1 6],[3 9]
60.931396484375,60.9375,[1 2],[4 7]
59.53369140625,59.539794921875,[7 1],[2 4]
59.222412109375,59.228515625,[5 8],[8 3]
54.376220703125,54.38232421875,[9 3],[5 2]
49.71923828125,49.725341796875,[8 3],[3 0]
57.60498046875,57.611083984375,[2 6],[7 9]
30.18798828125,30.194091796875,[2 3],[9 9]
52.79541015625,52.801513671875,[8 9],[3 5]
55.6884765625,55.694580078125,[2 8],[9 4]
25.762939453125,25.76904296875,[6 6],[9 0]
33.5693359375,33.575439453125,[5 3],[9 9]
64.4287109375,64.434814453125,[3 5],[2 9]
26.11083984375,26.116943359375,[8 4],[3 3]
56.158447265625,56.16455078125,[3 6],[2 9]
56.38427734375,56.390380859375,[4 9],[3 2]
22.64404296875,22.650146484375,[8 8],[3 3]
49.03564453125,49.041748046875,[8 9],[3 2]
55.511474609375,55.517578125,[9 3],[2 9]
26.129150390625,26.13525390625,[9 8],[3 3]
28.082275390625,28.08837890625,[3 3],[9 2]
29.437255859375,29.443359375,[6 2],[9 9]
50.140380859375,50.146484375,[9 3],[2 4]
58.16650390625,58.172607421875,[7 3],[9 0]
52.642822265625,52.64892578125,[3 8],[2 3]
49.03564453125,49.041748046875,[9 3],[2 4]
65.283203125,65.289306640625,[7 1],[2 3]
64.691162109375,64.697265625,[1 0],[3 4]
58.41064453125,58.416748046875,[7 9],[3 5]
55.48095703125,55.487060546875,[1 3],[3 0]
57.867431640625,57.87353515625,[1 9],[4 5]
59.881591796875,59.8876953125,[9 0],[2 4]
53.204345703125,53.21044921875,[3 9],[0 3]
53.192138671875,53.1982421875,[7 6],[2 9]
25.69580078125,25.701904296875,[9 9],[6 2]
34.881591796875,34.8876953125,[1 7],[3 3]
49.0234375,49.029541015625,[9 8],[6 3]
47.30224609375,47.308349609375,[3 8],[9 3]
57.99560546875,58.001708984375,[7 4],[2 8]
52.716064453125,52.72216796875,[7 4],[6 3]
49.530029296875,49.5361328125,[4 8],[3 5]
28.6865234375,28.692626953125,[2 3],[0 0]
63.232421875,63.238525390625,[5 0],[2 4]
30.194091796875,30.2001953125,[9 0],[3 3]
52.1484375,52.154541015625,[6 3],[1 4]
51.5625,51.568603515625,[3 8],[2 3]
51.458740234375,51.46484375,[9 8],[3 4]
57.04345703125,57.049560546875,[7 2],[2 0]
105.1513671875,105.157470703125,[4 8],[8 4]
56.3232421875,56.329345703125,[6 7],[1 2]
59.3017578125,59.307861328125,[9 2],[2 5]
58.49609375,58.502197265625,[7 5],[2 9]
54.78515625,54.791259765625,[3 9],[9 2]
55.908203125,55.914306640625,[0 3],[5 4]
58.251953125,58.258056640625,[5 4],[9 3]
133.123779296875,133.1298828125,[9 3],[3 9]
56.097412109375,56.103515625,[3 8],[9 4]
53.302001953125,53.30810546875,[2 6],[9 3]
60.25390625,60.260009765625,[2 1],[5 4]
58.172607421875,58.1787109375,[5 8],[9 3]
57.366943359375,57.373046875,[0 3],[3 9]
56.60400390625,56.610107421875,[3 4],[2 3]
54.400634765625,54.40673828125,[3 9],[9 2]
60.72998046875,60.736083984375,[9 5],[2 8]
33.416748046875,33.4228515625,[5 9],[2 2]
57.843017578125,57.84912109375,[3 7],[2 3]
57.89794921875,57.904052734375,[3 9],[2 5]
61.58447265625,61.590576171875,[0 3],[3 9]
56.005859375,56.011962890625,[0 8],[5 3]
58.282470703125,58.28857421875,[3 7],[9 2]
55.877685546875,55.8837890625,[9 2],[3 9]
59.100341796875,59.1064453125,[0 1],[2 4]
30.810546875,30.816650390625,[0 8],[5 5]
30.194091796875,30.2001953125,[0 9],[3 3]
55.584716796875,55.5908203125,[4 7],[3 2]
49.700927734375,49.70703125,[3 8],[9 5]
