Number of watermarks,Avrg acc,Min acc,Max acc
0,1.0,1.0,1.0
1,0.9352000045776367,0.5099999904632568,1.0
2,0.8373900005817413,0.3499999940395355,1.0
3,0.7142899990528822,0.12999999523162842,0.9800000190734863
4,0.6339399998784065,0.12999999523162842,0.9599999785423279
5,0.5736199994087219,0.12999999523162842,0.9599999785423279
