unsat-epsilon,sat-epsilon,original-prediction,second-best-prediction
35.48583984375,35.491943359375,"[5]","[9]"
26.312255859375,26.318359375,"[4]","[3]"
29.06494140625,29.071044921875,"[1]","[4]"
25.634765625,25.640869140625,"[8]","[4]"
22.705078125,22.711181640625,"[8]","[3]"
27.05078125,27.056884765625,"[6]","[1]"
26.483154296875,26.4892578125,"[3]","[9]"
27.606201171875,27.6123046875,"[9]","[5]"
31.085205078125,31.09130859375,"[7]","[3]"
25.091552734375,25.09765625,"[3]","[4]"
26.556396484375,26.5625,"[6]","[9]"
22.467041015625,22.47314453125,"[8]","[3]"
25.62255859375,25.628662109375,"[4]","[3]"
24.835205078125,24.84130859375,"[6]","[9]"
28.314208984375,28.3203125,"[3]","[9]"
27.05078125,27.056884765625,"[3]","[2]"
27.44140625,27.447509765625,"[0]","[3]"
29.193115234375,29.19921875,"[3]","[4]"
29.632568359375,29.638671875,"[4]","[8]"
30.462646484375,30.46875,"[3]","[9]"
35.90087890625,35.906982421875,"[5]","[8]"
33.416748046875,33.4228515625,"[5]","[2]"
25.69580078125,25.701904296875,"[9]","[6]"
24.932861328125,24.93896484375,"[6]","[9]"
27.972412109375,27.978515625,"[1]","[4]"
25.762939453125,25.76904296875,"[6]","[0]"
28.6865234375,28.692626953125,"[2]","[0]"
30.6396484375,30.645751953125,"[0]","[3]"
23.809814453125,23.81591796875,"[9]","[3]"
28.6376953125,28.643798828125,"[3]","[4]"
30.26123046875,30.267333984375,"[1]","[4]"
31.317138671875,31.3232421875,"[1]","[9]"
26.86767578125,26.873779296875,"[9]","[3]"
31.939697265625,31.94580078125,"[5]","[9]"
21.551513671875,21.5576171875,"[8]","[3]"
25.982666015625,25.98876953125,"[6]","[9]"
25.81787109375,25.823974609375,"[9]","[3]"
33.856201171875,33.8623046875,"[5]","[2]"
29.656982421875,29.6630859375,"[2]","[3]"
34.2529296875,34.259033203125,"[5]","[9]"
23.47412109375,23.480224609375,"[8]","[3]"
27.3193359375,27.325439453125,"[9]","[5]"
30.194091796875,30.2001953125,"[0]","[3]"
23.84033203125,23.846435546875,"[9]","[2]"
27.55126953125,27.557373046875,"[7]","[3]"
26.62353515625,26.629638671875,"[4]","[3]"
26.129150390625,26.13525390625,"[9]","[3]"
28.173828125,28.179931640625,"[4]","[8]"
31.182861328125,31.18896484375,"[2]","[5]"
27.191162109375,27.197265625,"[3]","[9]"
23.57177734375,23.577880859375,"[8]","[3]"
29.998779296875,30.0048828125,"[1]","[3]"
27.0751953125,27.081298828125,"[3]","[0]"
24.86572265625,24.871826171875,"[6]","[3]"
26.11083984375,26.116943359375,"[4]","[3]"
29.1259765625,29.132080078125,"[1]","[4]"
30.810546875,30.816650390625,"[0]","[5]"
27.9541015625,27.960205078125,"[0]","[2]"
28.900146484375,28.90625,"[0]","[9]"
31.6162109375,31.622314453125,"[2]","[7]"
31.09130859375,31.097412109375,"[7]","[9]"
25.482177734375,25.48828125,"[3]","[0]"
25.042724609375,25.048828125,"[9]","[2]"
27.45361328125,27.459716796875,"[4]","[5]"
29.8095703125,29.815673828125,"[0]","[4]"
30.0537109375,30.059814453125,"[2]","[9]"
29.2236328125,29.229736328125,"[5]","[9]"
29.437255859375,29.443359375,"[2]","[9]"
30.401611328125,30.40771484375,"[7]","[2]"
28.082275390625,28.08837890625,"[3]","[2]"
23.93798828125,23.944091796875,"[9]","[2]"
28.35693359375,28.363037109375,"[7]","[2]"
24.822998046875,24.8291015625,"[9]","[2]"
25.189208984375,25.1953125,"[8]","[3]"
27.117919921875,27.1240234375,"[2]","[3]"
23.2177734375,23.223876953125,"[8]","[5]"
30.06591796875,30.072021484375,"[9]","[2]"
28.436279296875,28.4423828125,"[2]","[9]"
30.291748046875,30.2978515625,"[3]","[2]"
32.77587890625,32.781982421875,"[5]","[9]"
26.59912109375,26.605224609375,"[7]","[6]"
24.090576171875,24.0966796875,"[9]","[3]"
33.1787109375,33.184814453125,"[5]","[9]"
22.64404296875,22.650146484375,"[8]","[3]"
29.5166015625,29.522705078125,"[3]","[0]"
29.791259765625,29.79736328125,"[0]","[2]"
29.229736328125,29.23583984375,"[2]","[5]"
23.91357421875,23.919677734375,"[8]","[3]"
30.169677734375,30.17578125,"[3]","[2]"
22.5830078125,22.589111328125,"[8]","[3]"
25.57373046875,25.579833984375,"[4]","[8]"
29.30908203125,29.315185546875,"[1]","[4]"
27.130126953125,27.13623046875,"[3]","[0]"
34.881591796875,34.8876953125,"[1]","[3]"
29.91943359375,29.925537109375,"[3]","[9]"
30.01708984375,30.023193359375,"[3]","[9]"
25.74462890625,25.750732421875,"[3]","[9]"
30.938720703125,30.94482421875,"[3]","[9]"
29.2724609375,29.278564453125,"[7]","[2]"
23.321533203125,23.32763671875,"[8]","[3]"
