Number of watermarks,Average change,Minimal change,Maximal change,Average accuracy,Minimal accuracy,Maximal accuracy
0,0.0,0,0,0.9684000015258789,0.9684000015258789,0.9684000015258789
1,27.95489501953125,21.5576171875,35.906982421875,0.9411210006475449,0.5600000023841858,0.968500018119812
2,51.12467651367187,22.650146484375,145.745849609375,0.9029802998304367,0.5557000041007996,0.9686999917030334
3,73.51755065917969,25.8270263671875,172.66845703125,0.8618485004305839,0.532800018787384,0.9685999751091003
4,98.39394836425781,25.8270263671875,205.224609375,0.8629444990754127,0.53329998254776,0.9695000052452087
5,118.09151000976563,30.65185546875,260.394287109375,0.855956400334835,0.5141000151634216,0.9695000052452087
